location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,default_profile_image,has_extended_profile,bot
"Houston, TX",Has description,Url,1291,0,10,8726,0,FALSE,78554,en,TRUE,FALSE,FALSE,1
"Templeville town, MD, USA",Has description,No url,1,349,0,27420,38,FALSE,31,en,TRUE,FALSE,FALSE,1
NULL,Has description,Url,1086,0,14,68002,0,FALSE,713,en,TRUE,FALSE,FALSE,1
NULL,No descrition,No url,33,0,8,72660,0,FALSE,676,en,TRUE,TRUE,FALSE,1
"Dublin, United States",Has description,No url,11,745,0,63840,146,FALSE,185,en,FALSE,FALSE,FALSE,1
"Austin, TX",Has description,No url,1,186,0,82380,0,FALSE,11,en,TRUE,FALSE,TRUE,1
in a machine.,Has description,No url,193,0,19,80965,0,FALSE,6068,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,8227,2,89,79651,26,FALSE,2597,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,275,0,17,63240,23,FALSE,9922,en,FALSE,FALSE,FALSE,1
NULL,No descrition,No url,51,3,9,55380,0,FALSE,2515,en,TRUE,FALSE,FALSE,1
cheese land,Has description,Url,51,1,12,73388,0,FALSE,111,en,FALSE,FALSE,FALSE,1
NULL,Has description,No url,2,1,4,35160,0,FALSE,230,en,TRUE,TRUE,FALSE,1
NULL,No descrition,NULL,0,29,0,4045,0,FALSE,0,en,TRUE,TRUE,NULL,1
NULL,No descrition,NULL,1,206,0,8329,0,FALSE,0,en,TRUE,TRUE,NULL,1
NULL,No descrition,NULL,0,38,0,3960,0,FALSE,0,en,TRUE,TRUE,NULL,1
NULL,No descrition,No url,109,0,16,30180,0,FALSE,16067,en,TRUE,FALSE,FALSE,1
NULL,Has description,No url,250,0,25,40831,0,FALSE,31721,en,TRUE,FALSE,FALSE,1
"Pensacola, USA",Has description,No url,15,1941,1,42420,319,FALSE,406,en,FALSE,FALSE,FALSE,1
"_._______________, _________",Has description,No url,190,1899,0,79680,27,FALSE,0,th,TRUE,TRUE,FALSE,1
NULL,Has description,Url,181,0,24,17769,0,FALSE,21506,en,TRUE,TRUE,FALSE,1
NULL,Has description,No url,10175,11465,199,77703,328,FALSE,65022,en,TRUE,FALSE,FALSE,1
AMERICA,Has description,No url,23,4,8,68677,4,FALSE,6230,en,FALSE,FALSE,FALSE,1
